Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
News,Study: 95% certainty for climate change,24 September 2013,https://sg.news.yahoo.com/climate-scientists-ipcc-report-must-communicate-consensus-140851618.html   http://www.huffingtonpost.com/2013/09/24/climate-change-certainty_n_3982362.html,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Japan scaled back climate change emissions target,15 November 2013,http://www.nytimes.com/2013/11/16/world/asia/japan-shelves-plan-to-slash-emissions-citing-fukushima.html?partner=rss&emc=rss&smid=tw-nytimes&_r=0   http://www.theverge.com/2013/11/15/5107712/after-fukushima-japan-wont-reduce-greenhouse-gasses   http://www.rtcc.org/2013/11/14/japan-set-to-stun-un-talks-by-scrapping-climate-target/,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,NASA: Warming-Driven Changes in Global Rainfall,03 May 2013,http://www.natureworldnews.com/articles/1737/20130503/nasa-climate-study-shows-increase-drought-extreme-rainfall-tied-co2.htm   http://www.nasa.gov/home/hqnews/2013/may/HQ_13-119_Rainfall_Response.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Tiananmen Square protests anniversary -- enviromental activist involved,03 June 2014,http://www.independent.ie/world-news/security-crackdown-ahead-of-tiananmen-square-25th-anniversary-30325550.html   http://www.abc.net.au/news/2014-06-02/tiananmen-square-q-and-a/5493456,not related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
News,Texas Oyster Reef Restoration Project Begins In Gulf Of Mexico,01 November 2013,http://www.businessweek.com/ap/2013-11-01/major-oyster-reef-rebuilding-begins-on-texas-coast   http://finance.yahoo.com/news/major-oyster-reef-rebuilding-begins-143849031.html,weakly related to climate change,borderline (weakly related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Gina McCarthy confirmed as head of EPA,18 July 2013,http://dailycaller.com/2013/07/18/senate-confirms-gina-mccarthy-to-head-epa/   http://www.washingtonpost.com/blogs/post-politics/wp/2013/07/18/senate-confirms-gina-mccarthy-as-next-epa-administrator-in-59-to-40-vote/,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Solar boat reaches Paris after crossing Atlantic,10 September 2013,http://news.yahoo.com/solar-boat-reaches-paris-crossing-160741206.html   http://www.businessweek.com/ap/2013-09-10/solar-boat-reaches-paris-after-crossing-atlantic,not related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Climate case at Supreme Court looks at EPA's power,24 February 2014,http://www.npr.org/2014/02/24/280944702/industry-challenges-epas-greenhouse-gas-rules-in-high-court?ft=1&f=1001   http://news.yahoo.com/climate-case-supreme-court-looks-epa-39-power-083227992--finance.html,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"Carbon dioxide levels at highest point in 800,000 Years",09 April 2014,http://thinkprogress.org/climate/2014/04/09/3424704/carbon-dioxide-highest-level/   http://mashable.com/2014/04/08/carbon-dioxide-highest-levels-global-warming/#:eyJzIjoidCIsImkiOiJfY2U4eWw1NDZha2QxZ3N4NCJ9,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,New record set for extent of Antarctic sea ice,15 September 2014,http://www.abc.net.au/news/2014-09-14/record-coverage-of-antarctic-sea-ice/5742668   http://econews.com.au/news-to-sustain-our-world/report-antarctic-sea-ice-reaches-record-levels/,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Google's challenge for NGOs,22 April 2014,http://www.huffingtonpost.com/2014/04/22/google-nonprofits-glass_n_5192812.html   http://www.utsandiego.com/news/2014/apr/22/google-challenges-nonprofits-on-ideas-to-use-glass/,not related to climate change,borderline (weakly related to climate change),for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
